,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_normalize,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.02354593276977539,0.008760721920470088,0.001968669891357422,0.0002263346838683311,0.1,True,auto,"{'alpha': 0.1, 'normalize': True, 'solver': 'auto'}",-397.4873756848329,-359.73289535086116,-364.18313966225463,-366.7827768294745,-360.5835683449744,-369.75395117447954,14.09625577254031,11,-362.4243579142456,-370.68405317016453,-369.1888796092015,-368.6295002892483,-371.37605931133817,-368.4605700588396,3.1761229197315446
1,0.04881434440612793,0.006157046134948233,0.0017305850982666016,0.00014988476330472564,0.1,True,svd,"{'alpha': 0.1, 'normalize': True, 'solver': 'svd'}",-397.4873756848327,-359.73289535086116,-364.1831396622546,-366.7827768294745,-360.5835683449746,-369.75395117447954,14.096255772540225,11,-362.4243579142455,-370.68405317016453,-369.1888796092016,-368.6295002892482,-371.3760593113383,-368.4605700588396,3.1761229197316125
2,0.016613531112670898,0.00023932178124784975,0.0015426158905029296,0.00013774647799360152,0.1,True,cholesky,"{'alpha': 0.1, 'normalize': True, 'solver': 'cholesky'}",-397.4873756848329,-359.73289535086116,-364.18313966225463,-366.7827768294745,-360.5835683449744,-369.75395117447954,14.09625577254031,11,-362.4243579142456,-370.68405317016453,-369.1888796092015,-368.6295002892483,-371.37605931133817,-368.4605700588396,3.1761229197315446
3,0.021542167663574217,0.002161925647095846,0.001632356643676758,0.00016126338013089083,0.1,True,lsqr,"{'alpha': 0.1, 'normalize': True, 'solver': 'lsqr'}",-397.6910663732709,-360.07793860803133,-364.5263242414148,-366.94698834937446,-360.6995147703524,-369.9883664684888,14.078514228536235,16,-362.6475313750952,-370.9055196496807,-369.42224058316026,-368.8732824240159,-371.6066486789629,-368.691044542183,3.1779413833742955
4,0.02395915985107422,0.0004890218581235413,0.0017141342163085938,0.00014713286302668857,0.1,True,sparse_cg,"{'alpha': 0.1, 'normalize': True, 'solver': 'sparse_cg'}",-397.63620162412326,-359.8294140004238,-364.31075075532294,-366.7773769175361,-360.6943317450341,-369.84961500848806,14.11690971655465,15,-362.51928520169145,-370.7794443211979,-369.29095348650594,-368.7292453795545,-371.47370892786915,-368.55852746336376,3.1770676493225953
5,0.11848030090332032,0.007349120661128716,0.001814413070678711,0.0008698513889072345,0.1,True,sag,"{'alpha': 0.1, 'normalize': True, 'solver': 'sag'}",-397.4819234299247,-359.75200770632955,-364.17492185124956,-366.7800235623863,-360.5861483495288,-369.7550049798838,14.091825540041855,14,-362.41893834136,-370.68586310270683,-369.1964745389296,-368.6243258287004,-371.3803718027938,-368.4611947228981,3.1795236929354886
6,0.11347260475158691,0.00764437477148992,0.0014758110046386719,9.49776552007479e-05,0.1,True,saga,"{'alpha': 0.1, 'normalize': True, 'solver': 'saga'}",-397.47739508113347,-359.7357496049921,-364.17914662173183,-366.77798409233793,-360.5744960575817,-369.7489542915554,14.093621266420783,10,-362.41469450169933,-370.6822508751519,-369.1898125008834,-368.6220143862365,-371.37013446127736,-368.4557813450497,3.1784205532042846
7,0.015128803253173829,0.0016599033752924843,0.0017443656921386718,9.481024095542484e-05,0.1,False,auto,"{'alpha': 0.1, 'normalize': False, 'solver': 'auto'}",-332.9071421815942,-308.23782574130223,-308.25578626208045,-314.2679875227622,-302.9717309660169,-313.3280945347512,10.422244667600484,2,-305.1055238740035,-311.17051624143147,-311.19238777594813,-309.7133049159624,-312.32993051423966,-309.90233266431704,2.5381437767681536
8,0.05551409721374512,0.005327165653588863,0.0038756370544433595,0.0036642265334220353,0.1,False,svd,"{'alpha': 0.1, 'normalize': False, 'solver': 'svd'}",-332.90714218159957,-308.2378257413042,-308.255786262048,-314.26798752275937,-302.9717309659954,-313.32809453474135,10.422244667609675,1,-305.10552387400253,-311.17051624143164,-311.19238777594785,-309.7133049159624,-312.3299305142404,-309.902332664317,2.5381437767686483
9,0.013938808441162109,0.0001673928405306874,0.0016900062561035155,0.00010034817926355232,0.1,False,cholesky,"{'alpha': 0.1, 'normalize': False, 'solver': 'cholesky'}",-332.9071421815942,-308.23782574130223,-308.25578626208045,-314.2679875227622,-302.9717309660169,-313.3280945347512,10.422244667600484,2,-305.1055238740035,-311.17051624143147,-311.19238777594813,-309.7133049159624,-312.32993051423966,-309.90233266431704,2.5381437767681536
10,0.020050477981567384,0.002434969143992145,0.001724576950073242,0.0001624877173808543,0.1,False,lsqr,"{'alpha': 0.1, 'normalize': False, 'solver': 'lsqr'}",-475.98922028029784,-439.8498873309569,-444.1765200671077,-446.7546825323498,-443.446697339366,-450.0434015100156,13.159374751660991,28,-442.91678553642674,-452.9957267435756,-449.37228692776614,-448.6454450872161,-449.6457682862775,-448.7152025162524,3.263345087720072
11,0.022966957092285155,0.0012134225605451693,0.001721668243408203,0.00012559083320310161,0.1,False,sparse_cg,"{'alpha': 0.1, 'normalize': False, 'solver': 'sparse_cg'}",-418.50562910358036,-374.83118795970745,-388.1454789293681,-383.33051200813253,-386.2284368927758,-390.20824897871285,14.863330164305669,18,-388.01015176618705,-387.0801960662185,-385.1916012609883,-384.94507985918784,-396.0864346827345,-388.26269272706327,4.077037439436885
12,4.687320375442505,0.4877509821746724,0.0014333724975585938,7.279618511101861e-05,0.1,False,sag,"{'alpha': 0.1, 'normalize': False, 'solver': 'sag'}",-426.1352655937904,-389.69788032689837,-401.18346073901927,-401.6588927091693,-397.7213745751386,-403.27937478880324,12.204580456188092,21,-395.500457732816,-405.2611284591842,-401.98632941041774,-402.48173454920914,-405.10441846282976,-402.06681372289137,3.5419304678567216
13,4.748269081115723,0.4908191303863283,0.0014202117919921875,6.974391825603206e-05,0.1,False,saga,"{'alpha': 0.1, 'normalize': False, 'solver': 'saga'}",-448.8189780762116,-410.91928387910497,-420.04419258227534,-423.2206273455911,-419.9091931046405,-424.5824549975647,12.793600532904414,24,-416.8249263022364,-426.955358385712,-423.8506257390057,-423.7745077009937,-425.79019287431413,-423.4391222004523,3.5191151217376775
14,0.015419530868530273,0.001322491627489219,0.0016561508178710937,0.00011616653570346278,1,True,auto,"{'alpha': 1, 'normalize': True, 'solver': 'auto'}",-481.316350310321,-441.7045450397889,-438.26870833121524,-450.3215324913587,-449.29864537293736,-452.18195630912425,15.25740599679381,30,-443.84076068665735,-454.1337844356573,-453.302271842144,-452.75140359820574,-453.0883036946756,-451.42330485146806,3.818592933755311
15,0.05029654502868652,0.0012842570297047931,0.0017653942108154298,0.00012625452198214968,1,True,svd,"{'alpha': 1, 'normalize': True, 'solver': 'svd'}",-481.3163503103212,-441.7045450397889,-438.2687083312153,-450.3215324913588,-449.2986453729374,-452.1819563091243,15.25740599679386,32,-443.8407606866575,-454.1337844356573,-453.3022718421442,-452.75140359820574,-453.08830369467563,-451.42330485146806,3.8185929337552653
16,0.01852278709411621,0.0002820259166872497,0.0018359184265136718,0.0001355258615347079,1,True,cholesky,"{'alpha': 1, 'normalize': True, 'solver': 'cholesky'}",-481.316350310321,-441.7045450397889,-438.26870833121524,-450.3215324913587,-449.29864537293736,-452.18195630912425,15.25740599679381,30,-443.84076068665735,-454.1337844356573,-453.302271842144,-452.75140359820574,-453.0883036946756,-451.42330485146806,3.818592933755311
