,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_positive,param_selection,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4539656639099121,0.4072883958344478,0.0018938064575195312,0.000579987512672794,0.0001,True,cyclic,0.01,"{'alpha': 0.0001, 'positive': True, 'selection': 'cyclic', 'tol': 0.01}",-521.6311895272821,-485.4942499348254,-495.22921146313195,-499.7365778561047,-500.8529234581813,-500.5888304479051,11.833417357226386,49,-494.40419173673456,-503.4197737620882,-501.02243113569017,-499.8571302624989,-499.5583161219098,-499.65236860378434,2.955149627420225
1,0.42514467239379883,0.3916975571505757,0.0017317771911621095,0.0001308501112929671,0.0001,True,cyclic,0.1,"{'alpha': 0.0001, 'positive': True, 'selection': 'cyclic', 'tol': 0.1}",-521.6311709036393,-485.4942414524991,-495.2291912125899,-499.73657630881127,-500.8529234581813,-500.58882066714415,11.83341475452617,48,-494.4041917505009,-503.4197737668338,-501.02243114124974,-499.85713026706566,-499.5583161219098,-499.652368609512,2.9551496243193722
2,0.013477706909179687,0.0007528507739997445,0.001534748077392578,0.00015077327035890138,0.0001,True,cyclic,1,"{'alpha': 0.0001, 'positive': True, 'selection': 'cyclic', 'tol': 1}",-619.0946764822086,-571.7368363636516,-594.2520251573246,-587.3677991742439,-591.582805661106,-592.8068285677069,15.28506058513607,83,-585.3143324662077,-596.7890175437034,-595.5444823872534,-590.8638842341027,-591.1264069917489,-591.9276247246032,4.055217076187038
3,0.4786172389984131,0.3083040911595878,0.0015608787536621094,0.0001749042596261472,0.0001,True,random,0.01,"{'alpha': 0.0001, 'positive': True, 'selection': 'random', 'tol': 0.01}",-521.632785382417,-485.49425145251854,-495.2292039129295,-499.73657654276747,-500.85276934754427,-500.58911732763534,11.833984544338485,53,-494.4041950133256,-503.41977376088323,-501.02243113694306,-499.8571302617241,-499.558316662873,-499.65236936714973,2.955148459967377
4,0.43689780235290526,0.25982559328562926,0.0015207767486572266,0.00014907157454434339,0.0001,True,random,0.1,"{'alpha': 0.0001, 'positive': True, 'selection': 'random', 'tol': 0.1}",-521.6303966434683,-485.4942289841202,-495.2289276136916,-499.73655112115506,-500.8575570618104,-500.58953228484916,11.833187662552533,55,-494.4041932083896,-503.4197737744593,-501.0224316820578,-499.8571302760718,-499.5583859791746,-499.6523829840306,2.955148714174504
5,0.013119220733642578,0.000775875673502457,0.0015999317169189454,0.0001589970299234873,0.0001,True,random,1,"{'alpha': 0.0001, 'positive': True, 'selection': 'random', 'tol': 1}",-564.9196557776711,-637.1784238361755,-546.8758250896454,-587.1704861047062,-558.7745635828927,-578.9837908782182,31.90853025422356,78,-538.8175523422909,-675.0950899102592,-556.372551369258,-587.3204614234279,-559.5919732161436,-583.439525652276,48.39060131475481
6,1.7342671394348144,0.21561199922642577,0.0016499996185302735,0.0001298564776857489,0.0001,False,cyclic,0.01,"{'alpha': 0.0001, 'positive': False, 'selection': 'cyclic', 'tol': 0.01}",-334.9925550409355,-309.31826066888834,-311.3735358482863,-317.9499751378192,-304.2374603366251,-315.5743574065109,10.658525623205124,7,-307.34778777921923,-313.86853360029517,-313.44699399289686,-311.7878141477174,-315.28576146880124,-312.347378197786,2.7373776203650135
7,1.7040069103240967,0.07222600612390244,0.0017110824584960938,4.692654264110212e-05,0.0001,False,cyclic,0.1,"{'alpha': 0.0001, 'positive': False, 'selection': 'cyclic', 'tol': 0.1}",-334.9925550409355,-309.31826066888834,-311.3735358482863,-317.9499751378192,-304.2374603366251,-315.5743574065109,10.658525623205124,7,-307.34778777921923,-313.86853360029517,-313.44699399289686,-311.7878141477174,-315.28576146880124,-312.347378197786,2.7373776203650135
8,0.01570162773132324,0.0002806183880631992,0.0017955303192138672,8.22428681389318e-05,0.0001,False,cyclic,1,"{'alpha': 0.0001, 'positive': False, 'selection': 'cyclic', 'tol': 1}",-475.67371004943266,-428.4690419993988,-435.4747115672279,-434.3059543468839,-433.72781204934716,-441.53024600245806,17.24012209904728,33,-432.5609069375343,-443.8372370298557,-441.8344581465265,-441.7931585952835,-442.22978103465425,-440.45110834877084,4.014961464456858
9,1.7933525562286377,0.02367040115895455,0.0017126083374023437,4.637873221647544e-05,0.0001,False,random,0.01,"{'alpha': 0.0001, 'positive': False, 'selection': 'random', 'tol': 0.01}",-335.0902879018623,-309.3934896325711,-311.2246126180639,-317.16861831649976,-303.55039930833334,-315.28548155546605,10.813833170270392,4,-307.3291393009182,-313.73132980670323,-313.21076832203096,-311.8402852775152,-315.04974043504626,-312.2322526284428,2.6584627737127073
10,1.7379050254821777,0.03165038054430652,0.0017594337463378907,8.9612609877696e-05,0.0001,False,random,0.1,"{'alpha': 0.0001, 'positive': False, 'selection': 'random', 'tol': 0.1}",-335.1164982282934,-309.15752302478575,-311.26942918788575,-317.2248643377427,-303.7383184305245,-315.3013266418464,10.807836981813056,5,-307.3157212085176,-313.5550959326109,-313.25735835084066,-311.74560793974535,-314.75173588102194,-312.12510386254723,2.5884455557529815
11,0.01632218360900879,0.000303647768250351,0.0017549991607666016,0.00015726057669085183,0.0001,False,random,1,"{'alpha': 0.0001, 'positive': False, 'selection': 'random', 'tol': 1}",-458.1839440150622,-425.656380796063,-426.43987045099817,-432.4860454334107,-451.599630506482,-438.8731742404032,13.453137959966078,31,-418.18577177726684,-437.2145157849754,-425.9596289914182,-430.3070008798337,-462.67535592030214,-434.86845467075926,15.213242284601446
12,0.25763740539550783,0.2823120863654586,0.0016525745391845702,0.00016414274036035423,0.001,True,cyclic,0.01,"{'alpha': 0.001, 'positive': True, 'selection': 'cyclic', 'tol': 0.01}",-521.6351896649396,-485.492494602096,-495.2232134857105,-499.7378672169255,-500.85237296178457,-500.5882275862912,11.835810313677692,46,-494.4042191320171,-503.4197967589149,-501.0224541018365,-499.857153136317,-499.55835070908654,-499.65239476763446,2.9551479868162116
13,0.2172764301300049,0.24028430827276745,0.001776409149169922,8.699206241158718e-05,0.001,True,cyclic,0.1,"{'alpha': 0.001, 'positive': True, 'selection': 'cyclic', 'tol': 0.1}",-521.6354870247792,-485.4924000998669,-495.2229599562109,-499.7379449486808,-500.85228813958446,-500.5882160338244,11.83596166479304,45,-494.40421897668443,-503.4197962206804,-501.02245469459893,-499.8571527620879,-499.5583519602578,-499.6523949228619,2.9551479465675525
14,0.014836740493774415,0.0003034901782937833,0.0018890380859375,7.022313983267792e-05,0.001,True,cyclic,1,"{'alpha': 0.001, 'positive': True, 'selection': 'cyclic', 'tol': 1}",-619.0771842461759,-571.7195950570929,-594.231998393338,-587.3500085077204,-591.5663183077752,-592.7890209024205,15.28494866817466,82,-585.2963373473202,-596.771513775312,-595.5267473558312,-590.8464165168186,-591.1088907392187,-591.9099811469001,4.055334688494642
15,0.48371143341064454,0.19655406516664353,0.0015841960906982423,6.930949066045951e-05,0.001,True,random,0.01,"{'alpha': 0.001, 'positive': True, 'selection': 'random', 'tol': 0.01}",-521.6361823423528,-485.4925010264604,-495.2232765239014,-499.7378366088087,-500.85489987748343,-500.5889392758014,11.836167758841512,52,-494.4042149905638,-503.419796668345,-501.02245400360124,-499.8571531554191,-499.5583418903508,-499.65239214165604,2.9551494820075606
