,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_normalize,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.013112211227416992,0.0014371268263518111,0.0011980056762695313,0.00013005075910117492,0.1,True,auto,"{'alpha': 0.1, 'normalize': True, 'solver': 'auto'}",-397.4873756848327,-359.73289535086104,-364.18313966225463,-366.7827768294745,-360.5835683449746,-369.75395117447954,14.096255772540237,23,-362.4243579142455,-370.6840531701645,-369.1888796092016,-368.6295002892483,-371.37605931133834,-368.46057005883966,3.1761229197316165
1,0.043007183074951175,0.0019711151158815477,0.001367330551147461,4.7617150575054936e-05,0.1,True,svd,"{'alpha': 0.1, 'normalize': True, 'solver': 'svd'}",-397.48737568483267,-359.73289535086104,-364.18313966225463,-366.7827768294745,-360.5835683449747,-369.75395117447954,14.0962557725402,23,-362.4243579142455,-370.6840531701645,-369.18887960920165,-368.6295002892481,-371.3760593113384,-368.4605700588396,3.176122919731627
2,0.012979984283447266,0.0007523300284686276,0.0012035369873046875,0.00011296321591824754,0.1,True,cholesky,"{'alpha': 0.1, 'normalize': True, 'solver': 'cholesky'}",-397.4873756848327,-359.73289535086104,-364.18313966225463,-366.7827768294745,-360.5835683449746,-369.75395117447954,14.096255772540237,23,-362.4243579142455,-370.6840531701645,-369.1888796092016,-368.6295002892483,-371.37605931133834,-368.46057005883966,3.1761229197316165
3,0.015746355056762695,0.0016074726459850296,0.0013333797454833985,3.9356430151563695e-05,0.1,True,lsqr,"{'alpha': 0.1, 'normalize': True, 'solver': 'lsqr'}",-397.6910672411104,-360.0779250179077,-364.5266690441214,-366.94729464841157,-360.70040057481293,-369.98867130527276,14.078359608920863,28,-362.6475311546225,-370.9055321853801,-369.4221607052681,-368.873307919679,-371.6069399804969,-368.69109438908936,3.177993283975033
4,0.015054845809936523,0.0005273973659295496,0.0010737895965576172,4.313898096825764e-05,0.1,True,sparse_cg,"{'alpha': 0.1, 'normalize': True, 'solver': 'sparse_cg'}",-397.6362011931443,-359.82941569973,-364.3107489067371,-366.77738426739967,-360.69432979941655,-369.84961597328555,14.116909383173198,27,-362.5192853110391,-370.7794426413449,-369.2909539224486,-368.7292460163697,-371.47370831837173,-368.55852724191476,3.1770672879847797
5,0.11356682777404785,0.007902566428756624,0.0011846065521240235,8.845034951713707e-05,0.1,True,sag,"{'alpha': 0.1, 'normalize': True, 'solver': 'sag'}",-397.49122575773345,-359.7274446407281,-364.18613028743005,-366.7867292943249,-360.58429658075625,-369.75516531219455,14.098048288270652,26,-362.42572346428915,-370.68651516757126,-369.1959495710695,-368.62966499976164,-371.3715935106213,-368.46188934266263,3.1754568177561677
6,0.10022430419921875,0.00575557576275445,0.0010461807250976562,5.698652928120787e-05,0.1,True,saga,"{'alpha': 0.1, 'normalize': True, 'solver': 'saga'}",-397.485202615633,-359.73410450759167,-364.1734800390204,-366.76928724577647,-360.57326624438775,-369.7470681304818,14.097902322583705,22,-362.4189813978589,-370.68167564960135,-369.18189674913214,-368.6204673568592,-371.36486131054556,-368.4535764927994,3.17536284725863
7,0.011452150344848634,0.0002544815807096192,0.0012153148651123046,0.00010324054158213678,0.1,False,auto,"{'alpha': 0.1, 'normalize': False, 'solver': 'auto'}",-332.781691457868,-308.1728837936636,-308.1284315232121,-314.33886948056045,-303.2136518822592,-313.32710562751265,10.347741180930553,2,-305.0976443541219,-311.15224943003807,-311.18192941576586,-309.698471973201,-312.3001366678711,-309.8860863681996,2.532761063970673
8,0.038496208190917966,0.0016549461709776635,0.0013564109802246093,4.2296127907490815e-05,0.1,False,svd,"{'alpha': 0.1, 'normalize': False, 'solver': 'svd'}",-332.7816914578661,-308.17288379366795,-308.1284315232018,-314.3388694805567,-303.2136518822637,-313.3271056275113,10.347741180929475,1,-305.0976443541226,-311.1522494300375,-311.18192941576484,-309.698471973201,-312.3001366678709,-309.88608636819936,2.5327610639701996
9,0.01139206886291504,0.0003387241005284638,0.0012603759765625,7.149673516322392e-05,0.1,False,cholesky,"{'alpha': 0.1, 'normalize': False, 'solver': 'cholesky'}",-332.781691457868,-308.1728837936636,-308.1284315232121,-314.33886948056045,-303.2136518822592,-313.32710562751265,10.347741180930553,2,-305.0976443541219,-311.15224943003807,-311.18192941576586,-309.698471973201,-312.3001366678711,-309.8860863681996,2.532761063970673
10,0.02215127944946289,0.003202449052070304,0.001207256317138672,0.00012067415479568317,0.1,False,lsqr,"{'alpha': 0.1, 'normalize': False, 'solver': 'lsqr'}",-338.1539248347323,-313.00980397260435,-316.31328419880407,-321.2341793263584,-305.89261028002136,-318.92076052250405,10.832705616579435,20,-311.11938943572454,-317.50941079037534,-316.98085495077623,-315.554432716286,-318.83857883582215,-316.00053334579684,2.6576988331218403
11,0.019426822662353516,0.002200746133836643,0.0010756969451904297,3.450318025146592e-05,0.1,False,sparse_cg,"{'alpha': 0.1, 'normalize': False, 'solver': 'sparse_cg'}",-335.7704501925422,-310.59297245137077,-311.9274519303178,-316.613956345895,-304.4070861288023,-315.86238340978565,10.689903631908594,14,-307.6128576944663,-314.32871501523726,-313.87904708966397,-312.20157937742783,-315.1609323448529,-312.63662630432964,2.6909630794081467
